schema,name,args,return_type,language,volatility,security_definer,lines,bytes,filename
public,et_fact_insert_contact,"parameter json, ref refcursor",refcursor,plpgsql,v,false,22,531,public/et_fact_insert_contact.sql
public,et_fact_insert_detail,"parameter json, ref refcursor",refcursor,plpgsql,v,false,47,1803,public/et_fact_insert_detail.sql
public,et_fact_insert_issues,"parameter json, ref refcursor",refcursor,plpgsql,v,false,28,834,public/et_fact_insert_issues.sql
public,et_fact_insert_links,"parameter json, ref refcursor",refcursor,plpgsql,v,false,43,1407,public/et_fact_insert_links.sql
public,et_fact_insert_task,"parameter json, ref refcursor",refcursor,plpgsql,v,false,22,507,public/et_fact_insert_task.sql
public,et_fact_insert_team,"parameter json, ref refcursor",refcursor,plpgsql,v,false,43,1614,public/et_fact_insert_team.sql
public,et_fact_permissions,"parameter json, ref refcursor",refcursor,plpgsql,v,false,40,1433,public/et_fact_permissions.sql
public,et_fact_quick_update,"parameter json, ref refcursor",refcursor,plpgsql,v,false,42,1635,public/et_fact_quick_update.sql
public,et_fact_task_delete,"parameter json, ref refcursor",refcursor,plpgsql,v,false,26,670,public/et_fact_task_delete.sql
public,et_fact_update,"parameter json, ref refcursor",refcursor,plpgsql,v,false,135,5576,public/et_fact_update.sql
public,et_filter_destinations_docs,"parameter json, ref refcursor",refcursor,plpgsql,v,false,32,984,public/et_filter_destinations_docs.sql
public,et_filter_docinfo,"parameter json, ref refcursor",refcursor,plpgsql,v,false,32,918,public/et_filter_docinfo.sql
public,et_filter_incomming_docs,"parameter json, ref refcursor",refcursor,plpgsql,v,false,33,1040,public/et_filter_incomming_docs.sql
public,et_filter_outgoing_docs,"parameter json, ref refcursor",refcursor,plpgsql,v,false,33,1050,public/et_filter_outgoing_docs.sql
public,et_filter_weblink,"parameter json, ref refcursor",refcursor,plpgsql,v,false,26,697,public/et_filter_weblink.sql
public,et_get_bundle_links,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,138,7569,public/et_get_bundle_links.sql
public,et_get_file_metadata,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,28,1056,public/et_get_file_metadata.sql
public,et_get_filedata,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,36,1662,public/et_get_filedata.sql
public,et_get_fileids,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,34,2006,public/et_get_fileids.sql
public,et_get_filetypes,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,42,1649,public/et_get_filetypes.sql
public,et_get_issue_details_grouped,"parameter json, ref refcursor",refcursor,plpgsql,v,false,56,1466,public/et_get_issue_details_grouped.sql
public,et_get_ocrdata_multi,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,25,1112,public/et_get_ocrdata_multi.sql
public,et_get_taskdetail,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,43,1272,public/et_get_taskdetail.sql
public,et_get_version,"parameter json, ref refcursor",refcursor,plpgsql,v,false,21,448,public/et_get_version.sql
public,et_getfact_annotation,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,28,571,public/et_getfact_annotation.sql
public,et_hyperlink_getdocument,"parameter json, ref refcursor",refcursor,plpgsql,v,false,42,1057,public/et_hyperlink_getdocument.sql
public,et_hyperlink_getfiles,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,47,1800,public/et_hyperlink_getfiles.sql
public,et_hyperlink_index_searchterms,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,41,1730,public/et_hyperlink_index_searchterms.sql
public,et_hyperlink_searchterms,"parameter json, ref refcursor",refcursor,plpgsql,v,false,35,1649,public/et_hyperlink_searchterms.sql
public,et_hyperlink_update_documents,"parameter json, ref refcursor",refcursor,plpgsql,v,false,176,7415,public/et_hyperlink_update_documents.sql
public,et_hyperlink_update_documents_index,"parameter json, ref refcursor",refcursor,plpgsql,v,false,70,2640,public/et_hyperlink_update_documents_index.sql
public,et_index_fileupdate,"parameter json, ref refcursor",refcursor,plpgsql,v,false,42,1997,public/et_index_fileupdate.sql
public,et_index_getdata,"parameter json, ref refcursor",refcursor,plpgsql,v,false,98,8362,public/et_index_getdata.sql
public,et_index_getfiles,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,134,6168,public/et_index_getfiles.sql
public,et_index_getfiles_test,"parameter json, ref1 refcursor, ref2 refcursor, ref3 refcursor",SETOF refcursor,plpgsql,v,false,134,5985,public/et_index_getfiles_test.sql
public,et_individual_annotations_global,"parameter json, ref refcursor",refcursor,plpgsql,v,false,49,2386,public/et_individual_annotations_global.sql
public,et_individual_doc_info,"parameter json, ref refcursor",refcursor,plpgsql,v,false,38,1779,public/et_individual_doc_info.sql
public,et_individual_doc_info_test,"parameter json, ref refcursor",refcursor,plpgsql,v,false,37,1686,public/et_individual_doc_info_test.sql
public,et_individual_prenext_id,"parameter json, ref refcursor",refcursor,plpgsql,v,false,94,4486,public/et_individual_prenext_id.sql
public,et_individual_tabs,"parameter json, ref refcursor",refcursor,plpgsql,v,false,21,642,public/et_individual_tabs.sql
public,et_individual_update_facts_note,"parameter json, ref refcursor",refcursor,plpgsql,v,false,28,703,public/et_individual_update_facts_note.sql
public,et_individual_update_rotation,"parameter json, ref refcursor",refcursor,plpgsql,v,false,25,540,public/et_individual_update_rotation.sql
public,et_insert_funlogs,"parameter json, ref refcursor",refcursor,plpgsql,v,false,20,486,public/et_insert_funlogs.sql
public,et_insert_recent_file,"parameter json, ref refcursor",refcursor,plpgsql,v,false,31,985,public/et_insert_recent_file.sql
public,et_insert_rtusers,"parameter json, ref refcursor",refcursor,plpgsql,v,false,32,904,public/et_insert_rtusers.sql
public,et_issue_colorid,"parameter json, ref refcursor",refcursor,plpgsql,v,false,21,1217,public/et_issue_colorid.sql
