schema,name,severity,issue,details
public,et_share_get_bundleusers,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_share_get_users,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_share_links,LOW,MULTIPLE_SELECT_INTO,6 SELECT INTO statements
public,et_share_links,LOW,SELECT_STAR,3 SELECT *
public,et_share_links,LOW,MANY_REFCURSORS,6 refcursors
public,et_share_sectionbundle,LOW,RAISE_NOTICE_DEBUG,1 statement(s)
public,et_share_sectionbundle,LOW,MULTIPLE_SELECT_INTO,5 SELECT INTO statements
public,et_share_users_by_bid,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_sidenav_filecontacts_list,LOW,RAISE_NOTICE_DEBUG,1 statement(s)
public,et_sidenav_filecontacts_list,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_sidenav_filecontacts_list,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_sidenav_filecontacts_list,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"8 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_sidenav_task_fact,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_sidenave_tasks_facttaskissues,LOW,RAISE_NOTICE_DEBUG,1 statement(s)
public,et_sidenave_tasks_facttaskissues,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_sidenave_tasks_facttaskissues,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_sidenave_tasks_facttaskissues,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"4 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_sidenave_tasks_facttasks,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_sidenave_tasks_facttasks,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"5 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_sidenave_tasks_filetasks,LOW,RAISE_NOTICE_DEBUG,1 statement(s)
public,et_sidenave_tasks_filetasks,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_sidenave_tasks_filetasks,HIGH,EXECUTE_NO_USING,1 EXECUTE without USING — possible SQL injection
public,et_sidenave_tasks_filetasks,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"8 LEFT JOIN(s), no DISTINCT — verify no row duplication"
public,et_sidenave_tasks_filetasks_files,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_signin,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_signin_rt,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_tag_builder,LOW,SELECT_STAR,4 SELECT *
public,et_tag_builder,LOW,MANY_REFCURSORS,9 refcursors
public,et_tag_list,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_task_delete,LOW,SELECT_STAR,1 SELECT *
public,et_task_detail,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_task_detail_v2,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_task_insert_reminder_v2,LOW,RAISE_NOTICE_DEBUG,1 statement(s)
public,et_task_list,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_task_list,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_task_list,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_task_list_old1,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_task_list_old2,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_teambuilder,LOW,SELECT_STAR,3 SELECT *
public,et_teambuilder,LOW,MANY_REFCURSORS,5 refcursors
public,et_teamcolors,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_teams,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_teams_users,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_ticket_caselist,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_timezonelist,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_toolbar_doc_info,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_toolbar_doc_info,LOW,SELECT_STAR,2 SELECT *
public,et_unassign_bundles,LOW,SELECT_STAR,1 SELECT *
public,et_update_bundles_permisssoins,LOW,MULTIPLE_SELECT_INTO,3 SELECT INTO statements
public,et_update_bundles_permisssoins,LOW,SELECT_STAR,2 SELECT *
public,et_upload_checkduplicacy,LOW,SELECT_STAR,2 SELECT *
public,et_upload_checkduplicacy_old,LOW,SELECT_STAR,2 SELECT *
public,et_upload_clearcompletes,LOW,SELECT_STAR,2 SELECT *
public,et_upload_deletefiles,LOW,SELECT_STAR,2 SELECT *
public,et_upload_getbundledetail,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_upload_getcasedetail,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_upload_getjobdetail,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_upload_getsectiondetail,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_upload_job_notifications,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_upload_report_detail,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_upload_report_detail_export,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_upload_report_filter,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_upload_report_summary,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_upload_sections,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_upload_unzip_extractation,LOW,MULTIPLE_SELECT_INTO,3 SELECT INTO statements
public,et_upload_unzip_extractation,LOW,SELECT_STAR,4 SELECT *
public,et_upload_update_convertinfo,LOW,RAISE_NOTICE_DEBUG,2 statement(s)
public,et_upload_update_convertinfo,LOW,MULTIPLE_SELECT_INTO,4 SELECT INTO statements
public,et_upload_update_convertinfo,LOW,SELECT_STAR,1 SELECT *
public,et_user_login,LOW,SELECT_STAR,1 SELECT *
public,et_user_permission,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_user_permission,LOW,SELECT_STAR,1 SELECT *
public,et_user_sectionbuilder,LOW,MULTIPLE_SELECT_INTO,3 SELECT INTO statements
public,et_user_sectionbuilder,LOW,SELECT_STAR,2 SELECT *
public,et_user_sections,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
public,et_user_team_management,LOW,RAISE_NOTICE_DEBUG,1 statement(s)
public,et_user_team_management,LOW,SELECT_STAR,1 SELECT *
public,et_user_teamid,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
